strain	virus	isolate_id	date	region	country	division	location	host	authors
A/Guangxi/3/2017	avian_flu	EPI1018199	2017-02-22	china	china	guangxi	guangxi	human	guangxi_center_for_disease_prevention_and_control
A/Guangxi/4/2017	avian_flu	EPI1018246	2017-02-27	china	china	guangxi	guangxi	human	guangxi_center_for_disease_prevention_and_control
A/Guangxi/5/2017	avian_flu	EPI1018242	2017-02-28	china	china	guangxi	guangxi	human	guangxi_center_for_disease_prevention_and_control
A/Guangxi/6/2017	avian_flu	EPI1018254	2017-03-03	china	china	guangxi	guangxi	human	guangxi_center_for_disease_prevention_and_control
A/Guangxi/7/2017	avian_flu	EPI1018263	2017-03-04	china	china	guangxi	guangxi	human	guangxi_center_for_disease_prevention_and_control
A/Guangxi/8309/2014	avian_flu	EPI509144	2014-01-27	china	china	guangxi	guangxi	human	who_chinese_national_influenza_center
A/Guangxi/8970/2014	avian_flu	EPI509128	2014-02-03	china	china	guangxi	guangxi	human	who_chinese_national_influenza_center
A/Guangxi/8971/2014	avian_flu	EPI509143	2014-02-05	china	china	guangxi	guangxi	human	who_chinese_national_influenza_center
A/Guineafowl/Nebraska/1709	avian_flu	EPI487349	2011-04-10	north_america	usa	usa	usa	avian	other_database_import
A/Guizhou/1502/2014	avian_flu	EPI509998	2014-01-08	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18973/2017	avian_flu	EPI1101732	2017-03-07	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18975/2017	avian_flu	EPI1101740	2017-03-25	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18976/2017	avian_flu	EPI1101748	2017-03-25	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18977/2017	avian_flu	EPI1101756	2017-03-21	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18978/2017	avian_flu	EPI1101764	2017-03-10	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/18980/2017	avian_flu	EPI1101772	2017-02-22	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/21078/2017	avian_flu	EPI1101780	2017-03-01	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/3240/2015	avian_flu	EPI566081	2015-01-09	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/7733/2017	avian_flu	EPI1101716	2017-01-10	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Guizhou/7734/2017	avian_flu	EPI1101724	2017-01-07	china	china	guizhou	guizhou	human	who_chinese_national_influenza_center
A/Hangzhou/1/2013	avian_flu	EPI441601	2013-03-24	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/112/2014	avian_flu	EPI535192	2014-02-09	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/118/2014	avian_flu	EPI535200	2014-02-10	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/169/2013	avian_flu	EPI443632	2013-04-11	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/173/2013	avian_flu	EPI443640	2013-04-11	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/19/2014	avian_flu	EPI535120	2014-01-18	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/2/2013	avian_flu	EPI442709	2013-03-25	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/254/2013	avian_flu	EPI450839	2013-04-17	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/3/2013	avian_flu	EPI442712	2013-04-02	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/30/2014	avian_flu	EPI535136	2014-01-20	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/327/2013	avian_flu	EPI450847	2013-04-19	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/35/2014	avian_flu	EPI535144	2014-01-23	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/38/2014	avian_flu	EPI535152	2014-01-23	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/39/2014	avian_flu	EPI535160	2014-01-23	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/40/2014	avian_flu	EPI535168	2014-01-24	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hangzhou/49/2014	avian_flu	EPI535176	2014-01-29	china	china	zhejiang	hangzhou	human	hangzhou_center_for_disease_control_and_prevention
A/Hebei/1/2013	avian_flu	EPI509127	2013-07-19	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/22042/2017	avian_flu	EPI1101788	2017-04-15	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/22044/2017	avian_flu	EPI1101796	2017-04-14	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/22045/2017	avian_flu	EPI1101804	2017-04-13	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/24991/2017	avian_flu	EPI1101812	2017-04-22	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/24992/2017	avian_flu	EPI1101820	2017-04-27	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/24994/2017	avian_flu	EPI1101828	2017-04-29	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/24995/2017	avian_flu	EPI1101836	2017-04-30	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/24997/2017	avian_flu	EPI1101844	2017-04-29	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27400/2017	avian_flu	EPI1101852	2017-05-05	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27401/2017	avian_flu	EPI1101860	2017-05-04	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27402/2017	avian_flu	EPI1101868	2017-05-06	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27403/2017	avian_flu	EPI1101876	2017-05-07	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27404/2017	avian_flu	EPI1101884	2017-05-08	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27407/2017	avian_flu	EPI1022654	2017-05-13	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/27408/2017	avian_flu	EPI1101892	2017-05-15	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/28939/2017	avian_flu	EPI1101900	2017-05-24	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/28940/2017	avian_flu	EPI1101908	2017-05-27	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/38604/2016	avian_flu	EPI1101916	2016-05-16	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/46586/2016	avian_flu	EPI1101924	2016-07-27	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Hebei/46587/2016	avian_flu	EPI1101932	2016-07-28	china	china	hebei	hebei	human	who_chinese_national_influenza_center
A/Henan/1/2013	avian_flu	EPI447728	2013-04-16	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/11156/2017	avian_flu	EPI971289	2017-01-21	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/11157/2017	avian_flu	EPI971257	2017-02-04	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/11158/2017	avian_flu	EPI971305	2017-02-07	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/11159/2017	avian_flu	EPI971297	2017-02-08	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/13705/2017	avian_flu	EPI971473	2017-02-21	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/13706/2017	avian_flu	EPI971481	2017-02-21	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/14903/2017	avian_flu	EPI1101940	2017-03-01	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/14905/2017	avian_flu	EPI971521	2017-03-04	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/15336/2017	avian_flu	EPI1101948	2017-03-07	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/15337/2017	avian_flu	EPI971513	2017-03-04	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/15338/2017	avian_flu	EPI1101956	2017-03-13	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/15339/2017	avian_flu	EPI1101964	2017-03-10	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/17867/2017	avian_flu	EPI1101972	2017-03-18	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/2/2013	avian_flu	EPI509055	2013-04-23	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/21080/2017	avian_flu	EPI1101980	2017-04-08	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/22190/2017	avian_flu	EPI1101988	2017-04-11	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/27454/2017	avian_flu	EPI1101996	2017-05-02	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/27456/2017	avian_flu	EPI1102004	2017-05-10	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/29263/2017	avian_flu	EPI1102012	2017-06-05	china	china	henan	henan	human	who_chinese_national_influenza_center
A/Henan/32240/2017	avian_flu	EPI1102020	2017-06-06	china	china	henan	henan	human	who_chinese_national_influenza_center
A/HongKong/125/2017	avian_flu	EPI977392	2017-01-05	china	hong_kong	hong_kong	hong_kong	human	centers_for_disease_control_and_prevention
A/HongKong/214/2017	avian_flu	EPI884219	2017-01-09	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/2212982/2014	avian_flu	EPI502370	2014-01-28	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/2550/2015	avian_flu	EPI559414	2015-01-23	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/3263/2014	avian_flu	EPI507084	2014-02-12	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/4495/2014	avian_flu	EPI509877	2014-03-01	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/470129/2013	avian_flu	EPI509510	2013-11-30	china	hong_kong	hong_kong	hong_kong	human	other_database_import
A/HongKong/5581/2014	avian_flu	EPI516595	2014-04-03	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/5731/2014	avian_flu	EPI520861	2014-04-08	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/5942/2013	avian_flu	EPI490879	2013-11-30	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/734/2014	avian_flu	EPI498797	2014-01-07	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/8113530/2014	avian_flu	EPI509885	2014-03-17	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/8122430/2014	avian_flu	EPI516603	2014-04-13	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/8130773/2015	avian_flu	EPI566669	2015-02-22	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/8194273/2014	avian_flu	EPI553467	2014-12-25	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB16021618/2016	avian_flu	EPI712923	2016-02-12	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB16049808/2016	avian_flu	EPI730492	2016-03-24	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB16064646/2016	avian_flu	EPI740735	2016-04-19	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB16184091/2016	avian_flu	EPI869670	2016-12-19	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB16189623/2016	avian_flu	EPI872955	2016-12-28	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB17002884/2017	avian_flu	EPI874335	2017-01-05	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HongKong/VB17037915/2017	avian_flu	EPI945068	2017-03-06	china	hong_kong	hong_kong	hong_kong	human	hong_kong_department_of_health
A/HuZhou/1/2013	avian_flu	EPI503496	2013-04-03	china	china	zhejiang	hu_zhou	human	other_database_import
A/Huaian/1/2015	avian_flu	EPI895634	2015-01-23	china	china	jiangsu	huaian	human	other_database_import
A/Huaian/2/2015	avian_flu	EPI895636	2015-02-03	china	china	jiangsu	huaian	human	other_database_import
A/Huaian/62/2014	avian_flu	EPI895638	2014-02-14	china	china	jiangsu	huaian	human	other_database_import
A/Huaian/65/2014	avian_flu	EPI895641	2014-02-24	china	china	jiangsu	huaian	human	other_database_import
A/Huaian/74/2014	avian_flu	EPI895648	2014-03-02	china	china	jiangsu	huaian	human	other_database_import
A/Huaian/83/2014	avian_flu	EPI895619	2014-05-27	china	china	jiangsu	huaian	human	other_database_import
A/Hubei/1/2016	avian_flu	EPI1082130	2016-03-13	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/11944/2017	avian_flu	EPI971137	2017-02-20	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/11950/2017	avian_flu	EPI971145	2017-02-20	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/11951/2017	avian_flu	EPI971153	2017-02-20	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/34007/2015	avian_flu	EPI628613	2015-04-22	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/39269/2016	avian_flu	EPI1102028	2016-03-14	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/9906/2017	avian_flu	EPI1082138	2017-01-24	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9907/2017	avian_flu	EPI1081985	2017-01-31	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9909/2017	avian_flu	EPI1081993	2017-02-07	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9910/2017	avian_flu	EPI1082001	2017-02-03	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9911/2017	avian_flu	EPI1104116	2017-02-04	china	china	hubei	hubei	human	who_chinese_national_influenza_center
A/Hubei/9912/2017	avian_flu	EPI1082017	2017-02-04	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9913/2017	avian_flu	EPI1082025	2017-02-06	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9914/2017	avian_flu	EPI1082033	2017-02-06	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9929/2017	avian_flu	EPI1082041	2017-01-26	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hubei/9937/2017	avian_flu	EPI1082049	2017-02-04	china	china	hubei	hubei	human	wuhan_institute_of_virology,_chinese_academy_of_sciences
A/Hunan/1/2013	avian_flu	EPI447700	2013-04-24	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/1/2016	avian_flu	EPI887817	2016-12-27	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/11025/2017	avian_flu	EPI1102210	2017-02-10	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/11026/2017	avian_flu	EPI1022614	2017-02-11	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/12172/2014	avian_flu	EPI628133	2014-02-16	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/12173/2014	avian_flu	EPI628141	2014-02-17	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17868/2017	avian_flu	EPI1102218	2017-03-17	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17869/2017	avian_flu	EPI1102226	2017-03-12	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17872/2017	avian_flu	EPI1102234	2017-03-21	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17873/2017	avian_flu	EPI1102242	2017-03-04	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17874/2017	avian_flu	EPI1022622	2017-03-06	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/17875/2017	avian_flu	EPI1022630	2017-02-28	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/19762/2015	avian_flu	EPI627078	2015-02-10	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/19763/2015	avian_flu	EPI627086	2015-02-10	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/2/2013	avian_flu	EPI447693	2013-04-25	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/2285/2017	avian_flu	EPI887641	2017-01-08	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/2286/2017	avian_flu	EPI887625	2017-01-06	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/2287/2017	avian_flu	EPI887633	2017-01-11	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25349/2017	avian_flu	EPI1102250	2017-04-13	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25350/2017	avian_flu	EPI1103940	2017-03-29	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25351/2017	avian_flu	EPI1022662	2017-04-11	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25353/2017	avian_flu	EPI1103948	2017-03-14	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25355/2017	avian_flu	EPI1103956	2017-03-29	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25356/2017	avian_flu	EPI1103964	2017-03-23	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25358/2017	avian_flu	EPI1103972	2017-03-24	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25360/2017	avian_flu	EPI1103980	2017-02-04	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25362/2017	avian_flu	EPI1103988	2017-03-14	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25363/2017	avian_flu	EPI1103996	2017-03-16	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25364/2017	avian_flu	EPI1104004	2017-03-19	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/25365/2017	avian_flu	EPI1104012	2017-03-21	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/2650/2016	avian_flu	EPI961184	2016-01-26	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/26937/2014	avian_flu	EPI627845	2014-04-19	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/26938/2014	avian_flu	EPI627853	2014-04-19	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/27316/2017	avian_flu	EPI1104020	2017-02-28	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/4135/2016	avian_flu	EPI1102036	2016-01-01	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/4137/2016	avian_flu	EPI1102044	2016-01-02	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6196/2016	avian_flu	EPI1102052	2016-02-03	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6197/2016	avian_flu	EPI1102060	2016-02-17	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6943/2017	avian_flu	EPI1102068	2017-01-13	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6944/2017	avian_flu	EPI1102076	2017-01-13	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6945/2017	avian_flu	EPI1102084	2017-01-15	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6946/2017	avian_flu	EPI1102092	2017-01-16	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6947/2017	avian_flu	EPI1102100	2017-01-09	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6948/2017	avian_flu	EPI1102110	2017-01-16	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/6949/2017	avian_flu	EPI1102122	2017-01-18	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/70/2013	avian_flu	EPI509063	2013-04-29	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/70A/2013	avian_flu	EPI457439	2013-04-XX	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/7833/2014	avian_flu	EPI628277	2014-01-27	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/8591/2017	avian_flu	EPI1102133	2017-01-22	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/8593/2017	avian_flu	EPI1102145	2017-01-18	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/8963/2014	avian_flu	EPI628293	2014-02-02	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9191/2014	avian_flu	EPI628061	2014-02-11	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9193/2014	avian_flu	EPI628181	2014-02-05	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9917/2017	avian_flu	EPI1102157	2017-02-06	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9918/2017	avian_flu	EPI1102169	2017-02-04	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9920/2017	avian_flu	EPI1102181	2017-01-31	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9921/2017	avian_flu	EPI1102192	2017-01-25	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/Hunan/9922/2017	avian_flu	EPI1102202	2017-01-23	china	china	hunan	hunan	human	who_chinese_national_influenza_center
A/InnerMongolia/29169/2017	avian_flu	EPI1103876	2017-06-14	china	china	neimenggu	neimenggu	human	who_chinese_national_influenza_center
A/InnerMongolia/Tongliao29169/2017	avian_flu	EPI1160111	2017-06-14	china	china	neimenggu	neimenggu	human	other_database_import
A/Jiangsu/1/2013	avian_flu	EPI469539	2013-04-20	china	china	jiangsu	jiangsu	human	other_database_import
A/Jiangsu/11550/2017	avian_flu	EPI971273	2017-01-23	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11553/2017	avian_flu	EPI971265	2017-01-29	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11554/2017	avian_flu	EPI971225	2017-02-03	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11555/2017	avian_flu	EPI971505	2017-02-03	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11556/2017	avian_flu	EPI971233	2017-02-01	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11557/2017	avian_flu	EPI971241	2017-02-07	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11581/2017	avian_flu	EPI971249	2017-01-13	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11582/2017	avian_flu	EPI1103370	2017-01-11	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11583/2017	avian_flu	EPI971217	2017-01-29	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11585/2017	avian_flu	EPI971161	2017-01-31	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11586/2017	avian_flu	EPI971209	2017-02-03	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11587/2017	avian_flu	EPI971169	2017-02-03	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11588/2017	avian_flu	EPI971201	2017-02-03	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11589/2017	avian_flu	EPI971177	2017-02-06	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/11590/2017	avian_flu	EPI971193	2017-02-07	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/15026/2016	avian_flu	EPI1103380	2016-01-26	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/15027/2016	avian_flu	EPI1103391	2016-03-05	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/15028/2016	avian_flu	EPI1103401	2016-02-24	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/18828/2014	avian_flu	EPI627014	2014-12-31	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/19757/2015	avian_flu	EPI627006	2015-01-23	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/19758/2015	avian_flu	EPI627094	2015-01-23	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/2/2013	avian_flu	EPI469531	2013-03-31	china	china	jiangsu	jiangsu	human	other_database_import
A/Jiangsu/22184/2015	avian_flu	EPI626982	2015-01-16	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24147/2017	avian_flu	EPI1102258	2017-02-26	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24149/2017	avian_flu	EPI1102266	2017-03-22	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24150/2017	avian_flu	EPI1102274	2017-01-31	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24154/2017	avian_flu	EPI1102282	2017-04-06	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24159/2017	avian_flu	EPI1102290	2017-01-18	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/24161/2017	avian_flu	EPI1102298	2017-02-10	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/3/2013	avian_flu	EPI447865	2013-04-06	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/33446/2015	avian_flu	EPI1102306	2015-02-01	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/3753/2016	avian_flu	EPI1103884	2016-01-20	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/3756/2016	avian_flu	EPI1103892	2016-01-12	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/4/2013	avian_flu	EPI447852	2013-04-05	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/5/2013	avian_flu	EPI447686	2013-04-08	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
A/Jiangsu/5155/2016	avian_flu	EPI1103900	2016-02-06	china	china	jiangsu	jiangsu	human	who_chinese_national_influenza_center
